Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
SAO MANOEL DO PARANA;3;47;4;-;-;8;61;1;95;89;167;9;484
SAO MATEUS DO SUL;-;2;11;5;5;3;3;-;2;3;171;7;212
SAO MIGUEL DO IGUACU;35;166;659;12;12;290;628;90;546;1784;2291;806;7319
SAO PEDRO DO IGUACU;1;16;9;-;-;1;268;1;37;11;255;18;617
SAO PEDRO DO IVAI;10;36;7;-;5;137;237;102;34;460;1552;79;2659
SAO PEDRO DO PARANA;12;101;1;-;-;16;146;-;108;91;85;161;721
SAO SEBASTIAO DA AMOREIRA;2;25;84;-;-;6;169;50;759;63;406;591;2155
SAO TOME;20;6;8;-;-;20;155;2;303;10;472;15;1011
SAPOPEMA;-;-;-;-;-;-;13;1;2;16;794;103;929
SARANDI;2006;215;2754;21;6;616;5860;35;760;616;3835;147;16872
SAUDADE DO IGUACU;-;1;4;-;-;-;7;6;86;6;663;39;812
SENGES;-;2;2;-;-;-;331;1385;2;1;1532;30;3285
SERRANOPOLIS DO IGUACU;7;20;104;13;8;31;300;344;80;93;229;22;1251
SERTANEJA;15;20;7;-;-;57;364;10;46;214;676;140;1549
SERTANOPOLIS;43;558;353;14;6;1381;1620;113;244;727;1150;332;6541
SIQUEIRA CAMPOS;6;143;8;8;4;6;3;4;5;46;3032;78;3343
SULINA;-;-;5;1;-;-;1;-;76;4;737;4;828
TAMARANA;36;64;37;18;8;67;301;46;6;164;2261;339;3351
TAMBOARA;248;42;24;31;2;34;339;7;27;164;300;31;1249
TAPEJARA;3;253;4;1;1;90;1441;2;460;147;171;105;2678
TAPIRA;34;72;37;2;1;3;87;42;544;114;778;249;1963
TEIXEIRA SOARES;-;3;1;-;-;-;-;-;3;3;39;3;52
TELEMACO BORBA;1;30;34;3;3;12;52;18;449;100;10976;550;12228
TERRA BOA;179;14;33;-;-;94;1492;3;3255;7;180;38;5295
TERRA RICA;12;182;36;-;3;159;822;37;218;709;294;132;2604
TERRA ROXA;149;128;98;11;9;626;307;14;174;642;1550;99;3807
TIBAGI;1;1;5;1;-;-;47;-;1179;-;146;17;1397
TIJUCAS DO SUL;-;2;4;2;-;2;6;1;-;5;16;4;42
TOLEDO;24;719;730;12;6;113;4817;60;4409;1119;9947;1623;23580
TOMAZINA;1;3;1;-;1;3;21;1;8;89;218;19;365
TRES BARRAS DO PARANA;1;5;65;13;5;5;30;40;250;322;2714;34;3484
TUNAS DO PARANA;-;-;1;-;-;1;-;-;-;-;-;3;5
TUNEIRAS DO OESTE;4;9;49;-;4;5;329;3;50;194;1700;6;2353
TUPASSI;-;151;9;1;-;27;698;-;401;50;1437;33;2807
TURVO;-;3;2;-;-;-;1;-;8;2;66;6;88
UBIRATA;21;46;422;2;1;55;1540;854;815;30;497;24;4307
UMUARAMA;122;687;58;39;5;494;6381;102;1588;560;8767;713;19517
UNIAO DA VITORIA;2;1;8;2;-;1;2;-;2;5;225;12;260
UNIFLOR;3;32;3;-;-;155;116;-;42;33;129;41;554
URAI;67;456;16;1;37;684;186;225;21;59;780;56;2588
WENCESLAU BRAZ;-;10;4;-;-;2;8;-;12;8;1340;19;1403
VENTANIA;-;1;-;-;-;-;2;-;3;2;108;15;131
VERA CRUZ DO OESTE;6;31;40;7;30;4;248;2;884;210;1000;57;2519
VERE;-;77;5;2;1;1;14;1;1048;85;689;18;1941
ALTO PARAISO;2;25;1;2;2;7;304;2;75;3;109;68;600
DOUTOR ULYSSES;-;-;-;-;-;-;-;-;1;1;2;-;4
VIRMOND;-;1;-;-;-;-;1;1;4;-;219;9;235
VITORINO;-;-;3;-;-;-;2;1;94;14;1332;11;1457
XAMBRE;10;75;13;8;1;43;391;5;158;229;730;76;1739
ABDON BATISTA;-;-;-;-;1;1;-;-;-;-;2;-;4
ABELARDO LUZ;-;-;5;-;-;-;20;5;795;9;88;15;937
AGROLANDIA;-;1;-;-;-;-;-;-;2;2;10;2;17
AGRONOMICA;-;1;1;1;-;-;1;-;-;4;20;1;29
AGUA DOCE;-;-;-;-;-;-;1;-;1;-;12;1;15
AGUAS DE CHAPECO;-;-;1;-;-;-;25;-;85;191;1310;8;1620
AGUAS FRIAS;-;-;9;-;-;-;1;-;48;61;70;1;190
AGUAS MORNAS;-;-;1;-;-;-;-;-;2;29;13;5;50
ALFREDO WAGNER;-;-;4;1;-;-;1;-;1;8;3;2;20
ALTO BELA VISTA;-;-;-;-;-;-;-;3;29;3;6;-;41
ANCHIETA;-;2;2;-;-;1;9;1;40;1;101;14;171
ANGELINA;-;-;-;-;-;1;2;-;1;4;9;-;17
ANITA GARIBALDI;-;-;-;-;-;-;1;-;-;-;4;1;6
ANITAPOLIS;-;-;-;-;-;-;-;-;1;4;9;-;14
ANTONIO CARLOS;-;2;-;-;-;1;-;1;10;48;40;11;113
APIUNA;-;2;-;-;-;-;-;-;38;134;430;4;608
ARABUTA;1;-;-;-;-;-;-;-;24;14;10;9;58
ARAQUARI;-;3;3;1;-;-;27;81;122;1585;6079;241;8142
ARARANGUA;1;4;2;-;-;-;2;-;3;15;51;23;101
ARMAZEM;-;-;1;-;-;-;-;1;1;1;1;2;7
ARROIO TRINTA;-;1;-;-;-;-;-;-;-;2;12;1;16
ARVOREDO;-;-;2;-;1;-;-;-;11;-;45;5;64
ASCURRA;-;1;-;-;1;-;-;-;356;12;121;12;503
ATALANTA;-;-;1;-;-;-;-;-;-;2;14;-;17
AURORA;-;-;-;-;-;-;-;-;1;6;12;2;21
BALNEARIO ARROIO DO SILVA;-;1;3;-;-;-;-;1;2;6;15;3;31
BALNEARIO CAMBORIU;2;99;69;3;15;119;279;130;278;4482;7125;756;13357
BALNEARIO BARRA DO SUL;1;4;2;-;2;-;3;30;48;571;2567;42;3270
BALNEARIO GAIVOTA;-;-;-;-;-;-;1;-;2;1;21;50;75
BANDEIRANTE;-;-;-;-;-;-;1;-;5;2;34;18;60
BARRA BONITA;-;-;1;-;-;-;-;-;47;2;38;5;93
BARRA VELHA;1;4;3;1;3;3;14;34;65;1273;2724;245;4370
BELA VISTA DO TOLDO;-;1;2;-;-;-;-;-;-;1;2;-;6
BELMONTE;-;-;1;-;-;2;-;2;454;2;28;6;495
BENEDITO NOVO;-;1;1;-;-;1;-;-;12;2;39;5;61
BIGUACU;-;5;10;1;2;3;3;4;69;2133;597;306;3133
BLUMENAU;2;27;28;1;1;32;20;36;10441;2298;59579;434;72899
BOCAINA DO SUL;-;-;-;-;-;-;-;-;-;1;-;-;1
BOMBINHAS;5;32;19;2;3;27;133;22;501;511;1092;203;2550
BOM JARDIM DA SERRA;-;-;-;-;-;-;-;-;-;1;-;-;1
BOM JESUS;-;-;97;-;-;-;1;-;35;3;424;4;564
BOM JESUS DO OESTE;-;2;3;-;-;2;-;-;30;2;14;-;53
BOM RETIRO;-;-;1;-;-;-;-;-;1;4;3;1;10
BOTUVERA;-;1;1;-;-;1;2;1;40;2;14;2;64
BRACO DO NORTE;-;6;3;-;-;-;-;-;3;20;667;13;712
BRACO DO TROMBUDO;-;-;1;-;-;-;-;-;-;-;4;1;6
BRUNOPOLIS;-;-;-;-;-;-;1;-;-;-;5;-;6
BRUSQUE;-;8;19;1;1;14;48;22;4978;149;3519;61;8820
CACADOR;-;2;2;1;-;-;1;-;7;17;68;197;295
CAIBI;-;-;9;-;5;2;31;-;393;1;219;5;665
CAMBORIU;5;16;13;2;5;438;60;339;67;1801;3271;995;7012
CAPAO ALTO;-;-;-;-;-;-;-;-;-;1;1;-;2
CAMPO ALEGRE;-;-;1;1;-;1;-;8;6;18;31;-;66
CAMPO BELO DO SUL;-;-;-;-;-;-;-;-;-;-;2;-;2
CAMPO ERE;-;2;-;-;1;1;6;18;46;2;652;1;729
CAMPOS NOVOS;-;-;3;-;-;1;-;-;1;5;135;7;152
CANELINHA;-;2;-;-;1;2;2;-;21;58;152;56;294
CANOINHAS;-;8;6;-;1;1;3;-;3;11;75;14;122
CAPINZAL;1;1;2;-;-;-;-;-;3;-;431;68;506
CAPIVARI DE BAIXO;-;2;5;2;-;1;1;-;3;10;18;8;50
CATANDUVAS;-;-;-;-;1;1;-;-;7;-;10;94;113
CAXAMBU DO SUL;1;-;2;-;-;-;2;-;421;-;603;9;1038
CELSO RAMOS;-;1;-;-;-;-;-;-;-;-;4;-;5
CERRO NEGRO;-;-;-;-;-;-;-;-;-;-;1;-;1
CHAPADAO DO LAGEADO;-;-;-;-;-;-;-;-;1;2;2;3;8
CHAPECO;3;46;829;-;-;19;158;69;6991;200;8844;1673;18832
COCAL DO SUL;-;-;-;-;-;-;-;-;1;3;18;3;25
CONCORDIA;-;4;10;-;1;3;3;45;5053;523;2425;151;8218
CORDILHEIRA ALTA;-;1;2;-;-;-;2;2;68;2;63;76;216
CORONEL FREITAS;-;-;159;-;1;1;86;2;1859;79;176;15;2378
CORONEL MARTINS;-;-;1;1;-;-;-;-;-;-;7;-;9
CORUPA;-;1;1;-;-;-;-;-;1;8;230;50;291
CORREIA PINTO;-;2;-;-;-;-;-;-;-;2;12;1;17
CRICIUMA;1;8;16;3;-;2;3;1;13;33;83;32;195
CUNHA PORA;-;-;8;2;2;33;9;6;317;15;483;113;988
CUNHATAI;-;-;-;-;-;-;1;-;68;3;162;5;239
CURITIBANOS;-;4;2;-;-;-;-;-;4;7;31;-;48
DESCANSO;-;1;106;1;-;-;2;5;95;8;102;33;353
DIONISIO CERQUEIRA;-;2;8;-;1;1;18;1;41;8;289;20;389
DONA EMMA;-;-;-;-;-;-;-;1;-;1;10;2;14
DOUTOR PEDRINHO;-;-;1;1;-;-;-;-;1;1;13;-;17
ENTRE RIOS;-;-;1;-;-;-;3;-;28;10;338;-;380
ERMO;-;1;-;-;-;-;-;-;1;-;1;2;5
ERVAL VELHO;-;-;1;-;-;-;-;-;-;-;5;4;10
FAXINAL DOS GUEDES;-;-;10;-;1;1;1;-;23;-;53;2;91
FLOR DO SERTAO;-;-;2;1;1;-;2;2;181;-;29;10;228
FLORIANOPOLIS;18;89;253;63;17;94;153;224;4405;35568;14280;6507;61671
FORMOSA DO SUL;-;-;2;-;-;-;44;3;15;4;251;1;320
FORQUILHINHA;-;-;1;-;-;1;-;2;1;8;13;6;32
FRAIBURGO;-;-;-;-;-;-;2;1;5;4;29;6;47
FREI ROGERIO;-;-;-;-;-;1;-;-;-;-;1;-;2
GALVAO;-;1;2;-;-;-;-;-;3;-;142;2;150
GAROPABA;1;2;3;-;2;2;-;-;10;38;65;27;150
GARUVA;-;1;2;-;2;2;14;22;518;996;2843;20;4420
GASPAR;-;2;4;-;-;2;11;5;141;104;2606;32;2907
GOVERNADOR CELSO RAMOS;-;4;3;2;1;7;2;-;18;138;178;41;394
GRAO PARA;-;-;-;-;1;2;-;-;-;1;10;1;15
GRAVATAL;-;1;1;-;-;1;-;-;2;4;19;6;34
GUABIRUBA;-;5;4;-;1;2;3;4;265;75;182;11;552
GUARACIABA;1;3;12;1;-;2;3;1;1143;5;80;34;1285
GUARAMIRIM;-;5;3;-;-;-;10;9;17;38;572;58;712
GUARUJA DO SUL;-;3;-;-;-;-;2;-;61;7;476;5;554
GUATAMBU;1;-;2;-;-;-;5;-;80;-;276;24;388
HERVAL D'OESTE;-;1;1;2;-;-;-;1;6;9;258;24;302
IBIAM;-;-;-;-;-;-;-;-;-;-;2;-;2
IBICARE;-;1;-;-;-;-;-;-;5;-;2;1;9
IBIRAMA;-;-;-;-;-;-;1;-;5;12;57;20;95
ICARA;-;1;-;1;1;-;1;-;9;11;17;10;51
ILHOTA;-;20;16;6;5;1;5;3;13;25;407;16;517
IMARUI;-;2;-;-;1;-;-;2;4;6;12;1;28
IMBITUBA;1;5;3;-;1;4;1;1;11;25;52;23;127
IMBUIA;-;-;-;-;-;-;-;-;-;5;7;-;12
INDAIAL;2;11;3;1;-;2;5;12;69;44;11548;53;11750
IOMERE;-;-;-;-;-;-;-;-;-;-;6;5;11
IPIRA;-;-;2;-;-;1;-;1;5;14;257;3;283
IPORA DO OESTE;-;4;23;12;3;1;3;3;1155;3;133;11;1351
IPUACU;-;-;4;-;-;-;15;1;37;1;421;5;484
IPUMIRIM;-;2;-;-;-;-;-;-;129;-;15;3;149
IRACEMINHA;-;-;-;-;-;-;-;-;133;2;54;4;193
IRANI;-;-;-;-;-;-;-;-;7;2;15;7;31
IRATI;-;-;-;-;-;-;7;1;6;17;78;-;109
IRINEOPOLIS;-;-;-;-;-;-;-;-;-;6;22;-;28
ITA;-;3;2;-;-;-;-;3;982;10;7;13;1020
ITAIOPOLIS;-;1;1;1;-;-;1;-;2;4;24;-;34
ITAJAI;16;3550;91;1;6;84;228;369;351;5038;41712;3719;55165
ITAPEMA;1;33;14;2;31;779;101;43;242;1727;1559;1680;6212
ITAPIRANGA;-;2;-;-;-;1;5;2;116;150;1852;10;2138
ITAPOA;2;8;6;1;-;9;10;6;18;111;3081;152;3404
ITUPORANGA;-;-;3;-;-;2;1;-;-;4;36;34;80
JABORA;-;1;1;-;-;-;1;-;2;1;6;12;24
JACINTO MACHADO;-;-;-;-;-;-;-;-;1;-;4;2;7
JAGUARUNA;-;1;4;-;-;-;1;-;1;6;12;1;26
JARAGUA DO SUL;6;13;10;1;-;3;31;11;71;178;17560;337;18221
JARDINOPOLIS;-;1;2;-;-;-;-;1;6;36;135;107;288
JOACABA;2;2;1;-;1;1;1;-;11;7;73;32;131
JOINVILLE;9;50;29;1;5;21;8753;16423;21308;44687;80215;1223;172724
JOSE BOITEUX;-;-;1;-;-;-;-;-;2;3;4;1;11
JUPIA;-;-;-;-;-;-;-;-;-;1;73;2;76
LACERDOPOLIS;-;-;-;-;-;-;-;-;-;-;4;4;8
LAGES;2;6;7;-;-;3;-;1;6;29;105;13;172
LAGUNA;-;4;1;1;1;1;2;-;4;9;22;3;48
LAJEADO GRANDE;-;-;-;-;-;-;-;-;2;-;56;3;61
LAURENTINO;-;-;1;-;-;-;-;-;4;3;3;2;13
LAURO MULLER;-;-;-;-;-;-;-;-;-;5;5;3;13
LEBON REGIS;-;-;1;-;-;-;-;-;-;-;5;1;7
LEOBERTO LEAL;-;-;-;-;-;-;-;-;-;-;-;2;2
LINDOIA DO SUL;2;-;-;1;-;-;-;-;14;2;12;13;44
LONTRAS;1;2;-;-;-;-;-;1;1;3;22;3;33
LUIZ ALVES;-;1;5;-;2;1;4;-;4;12;256;18;303
LUZERNA;-;1;3;-;-;-;-;-;6;4;50;6;70
MAFRA;-;4;2;1;-;1;1;3;7;15;94;3;131
MAJOR GERCINO;-;1;-;-;1;-;-;-;1;1;17;7;28
MAJOR VIEIRA;-;-;-;-;-;-;-;-;-;2;3;1;6
MARACAJA;-;-;1;-;2;-;-;-;-;3;10;1;17
MARAVILHA;1;-;9;-;1;13;132;3;4145;16;1005;65;5390
MAREMA;-;-;1;-;-;-;-;-;11;-;75;1;88
MASSARANDUBA;2;2;-;-;-;2;2;2;9;11;89;7;126
MATOS COSTA;-;-;-;1;-;-;-;-;-;-;1;-;2
MELEIRO;-;-;-;-;-;-;-;-;-;1;2;-;3
MIRIM DOCE;-;-;-;-;-;-;-;-;1;-;1;1;3
MODELO;-;1;39;1;-;-;-;-;19;6;94;3;163
MONDAI;1;2;1;-;1;-;18;2;1757;9;695;34;2520
MONTE CARLO;-;-;-;-;-;-;-;-;-;-;8;2;10
MONTE CASTELO;-;-;-;-;-;1;-;-;-;3;7;-;11
MORRO DA FUMACA;1;-;-;-;-;-;1;-;3;2;2;7;16
MORRO GRANDE;-;-;-;-;-;-;-;-;-;1;-;1;2
NAVEGANTES;4;73;53;9;6;59;357;968;353;1872;6555;134;10443
NOVA ERECHIM;-;3;19;-;-;-;4;4;39;2;688;2;761
NOVA ITABERABA;1;-;4;-;-;3;4;1;133;4;116;9;275
NOVA TRENTO;-;2;3;-;-;4;1;-;45;59;462;12;588
NOVA VENEZA;-;1;1;-;-;-;-;-;2;6;-;1;11
NOVO HORIZONTE;-;-;-;1;-;-;-;-;2;-;126;-;129
ORLEANS;-;3;-;-;-;1;-;-;4;5;19;5;37
OTACILIO COSTA;-;1;-;-;-;-;-;-;1;1;20;1;24
OURO;1;-;-;-;1;-;-;-;-;-;65;15;82
OURO VERDE;-;-;3;-;-;-;-;-;13;1;13;-;30
PAIAL;-;-;-;-;-;-;-;-;9;-;12;15;36
PAINEL;-;-;-;-;-;1;-;-;-;1;1;-;3
PALHOCA;1;11;19;3;1;12;7;46;386;12802;744;515;14547
PALMA SOLA;-;1;3;-;1;1;18;9;12;-;327;55;427
PALMEIRA;-;1;-;-;-;-;-;-;-;2;1;-;4
PALMITOS;-;1;10;-;-;3;22;1;2040;41;630;18;2766
PAPANDUVA;1;1;2;1;-;1;1;1;1;5;13;2;29
PARAISO;-;-;1;1;-;-;-;-;36;-;69;11;118
PASSO DE TORRES;1;-;-;-;-;-;-;-;-;4;50;5;60
PASSOS MAIA;-;-;-;-;-;-;-;-;2;-;27;6;35
PAULO LOPES;-;1;-;-;-;1;-;-;10;87;60;4;163
PEDRAS GRANDES;-;-;-;-;-;1;-;-;-;-;2;-;3
PENHA;1;13;18;-;1;7;15;60;157;575;2271;158;3276
PERITIBA;1;-;-;-;-;-;-;-;127;4;2;2;136
PESCARIA BRAVA;-;1;-;-;-;-;-;1;1;4;5;-;12
PETROLANDIA;-;3;-;-;-;-;-;-;-;1;9;2;15
BALNEARIO PICARRAS;1;7;3;2;-;2;7;47;89;598;2096;186;3038
PINHALZINHO;-;7;2372;-;-;2;19;8;112;49;514;153;3236
PINHEIRO PRETO;-;-;-;-;-;-;-;-;-;-;1;1;2
PIRATUBA;-;1;-;-;-;-;-;-;89;5;133;5;233
PLANALTO ALEGRE;1;-;-;-;-;1;1;-;18;2;113;20;156
POMERODE;2;2;2;-;2;1;2;6;13;24;375;23;452
PONTE ALTA;-;-;-;-;-;-;-;-;1;-;5;-;6
PONTE SERRADA;-;1;-;-;-;-;-;-;7;-;28;3;39
PORTO BELO;1;25;10;2;9;161;40;16;396;727;1605;526;3518
PORTO UNIAO;1;2;6;1;1;-;3;-;4;9;226;8;261
POUSO REDONDO;-;-;2;-;-;-;-;1;3;7;58;7;78
PRAIA GRANDE;1;2;-;-;-;-;-;-;-;3;3;-;9
PRESIDENTE CASTELLO BRANCO;-;-;-;-;1;-;-;1;2;-;2;1;7
PRESIDENTE GETULIO;-;1;1;-;-;-;1;-;2;6;47;7;65
PRESIDENTE NEREU;-;-;1;-;-;-;-;-;-;-;5;2;8
PRINCESA;1;1;7;-;-;1;3;-;53;-;98;2;166
QUILOMBO;-;-;2;-;-;-;1;1;107;354;205;12;682
RANCHO QUEIMADO;-;-;1;1;-;-;-;-;1;3;3;3;12
RIO DAS ANTAS;-;-;-;-;-;-;-;-;-;-;1;5;6
RIO DO CAMPO;-;-;-;-;-;-;-;1;3;2;1;1;8
RIO DO OESTE;-;-;-;-;-;-;-;-;1;2;18;2;23
RIO DOS CEDROS;-;-;-;-;-;1;1;1;3;4;72;7;89
RIO DO SUL;1;3;4;1;-;1;2;2;14;35;346;51;460
RIO FORTUNA;-;-;-;-;1;-;-;1;1;3;7;-;13
RIO NEGRINHO;-;1;3;-;-;1;-;-;3;7;58;6;79
RIO RUFINO;-;-;-;-;-;-;-;-;-;-;3;-;3
RIQUEZA;-;-;3;-;-;1;8;4;105;4;340;-;465
RODEIO;-;2;-;-;-;-;-;-;22;6;151;14;195
ROMELANDIA;-;1;1;-;1;-;-;-;358;1;6;8;376
SALETE;-;-;1;-;-;-;2;-;-;3;13;-;19
SALTINHO;-;2;2;-;-;-;1;-;51;-;11;1;68
SALTO VELOSO;-;-;1;-;-;-;-;-;-;-;6;1;8
SANGAO;-;3;1;1;-;1;1;-;1;2;8;4;22
SANTA CECILIA;-;-;1;-;-;-;-;-;-;1;12;1;15
SANTA HELENA;-;-;2;-;-;-;-;50;115;1;95;4;267
SANTA ROSA DE LIMA;-;2;-;-;-;2;-;-;-;1;1;-;6
SANTA ROSA DO SUL;-;-;1;-;-;-;-;-;-;1;8;-;10
SANTA TEREZINHA;-;-;2;-;-;1;-;-;1;2;1;-;7
SANTA TEREZINHA DO PROGRESSO;-;-;1;-;-;-;1;-;297;1;34;-;334
SANTIAGO DO SUL;-;-;-;-;-;-;-;-;42;16;76;2;136
SANTO AMARO DA IMPERATRIZ;-;2;7;5;-;3;1;-;42;429;207;40;736
SAO BERNARDINO;1;-;-;-;-;-;1;1;11;-;89;1;104
SAO BENTO DO SUL;-;1;5;1;-;3;3;4;7;37;220;11;292
SAO BONIFACIO;-;-;-;-;-;1;-;3;2;5;2;1;14
SAO CARLOS;-;1;1;-;-;1;117;3;142;31;1092;2;1390
SAO CRISTOVAO DO SUL;-;-;2;-;-;-;-;-;-;1;1;-;4
SAO DOMINGOS;-;-;1;-;-;-;-;-;22;12;387;1;423
SAO FRANCISCO DO SUL;-;5;3;1;-;-;21;14;243;1969;4828;114;7198
SAO JOAO DO OESTE;-;-;-;-;-;-;-;-;84;65;285;2;436
SAO JOAO BATISTA;1;4;3;1;-;5;5;2;83;185;859;69;1217
SAO JOAO DO ITAPERIU;-;-;-;-;-;-;2;-;5;10;26;5;48
SAO JOAO DO SUL;-;1;-;-;-;-;-;-;2;2;5;-;10
SAO JOAQUIM;-;1;1;-;-;-;-;-;1;2;4;1;10
SAO JOSE;6;27;32;5;1;14;38;128;402;13882;2925;1124;18584
SAO JOSE DO CEDRO;-;2;16;-;-;2;21;5;1345;9;303;115;1818
SAO JOSE DO CERRITO;-;1;-;-;-;-;-;-;-;-;3;-;4
SAO LOURENCO DO OESTE;-;1;7;-;1;2;8;12;29;11;732;15;818
SAO LUDGERO;-;2;4;-;-;3;1;-;1;53;25;4;93
SAO MARTINHO;-;1;-;-;-;-;1;-;1;1;3;1;8
SAO MIGUEL DA BOA VISTA;-;-;-;-;-;-;-;-;225;-;8;4;237
SAO MIGUEL DO OESTE;1;7;55;5;1;4;143;10;1105;13;1840;619;3803
SAO PEDRO DE ALCANTARA;1;2;1;1;1;1;-;-;14;129;10;5;165
SAUDADES;-;-;55;-;-;1;7;-;243;472;324;21;1123
SCHROEDER;-;-;6;-;-;1;2;2;5;8;185;50;259
SEARA;-;5;5;1;8;5;2;11;1729;19;60;16;1861
SERRA ALTA;-;-;155;-;-;-;2;-;27;-;45;2;231
SIDEROPOLIS;-;-;-;-;-;-;-;-;2;1;5;2;10
SOMBRIO;-;1;2;1;-;2;1;2;5;50;18;3;85
SUL BRASIL;-;-;5;-;-;-;3;-;11;1;35;3;58
TAIO;-;-;-;-;-;1;2;1;1;4;37;3;49
TANGARA;-;1;1;-;-;-;-;-;-;2;5;2;11
TIGRINHOS;-;-;-;-;-;-;-;-;126;2;39;-;167
TIJUCAS;-;4;3;-;2;6;327;6;148;653;4093;269;5511
TIMBE DO SUL;-;-;-;-;-;-;-;1;-;-;-;1;2
TIMBO;2;2;-;-;-;1;2;9;28;32;2648;261;2985
TIMBO GRANDE;-;-;-;-;-;-;-;-;-;-;2;1;3
TRES BARRAS;-;1;1;-;-;-;-;-;1;1;5;-;9
TREVISO;-;-;-;1;-;-;-;-;-;-;-;1;2
TREZE DE MAIO;-;-;-;-;-;-;-;-;2;-;1;-;3
TREZE TILIAS;1;-;-;-;-;-;1;-;2;2;78;5;89
TROMBUDO CENTRAL;-;-;-;-;1;-;2;-;1;3;23;2;32
TUBARAO;2;10;9;3;2;5;4;3;11;22;145;21;237
TUNAPOLIS;-;2;2;1;2;1;-;5;101;19;215;1;349
TURVO;1;-;1;-;-;-;1;-;1;2;6;2;14
UNIAO DO OESTE;-;2;13;-;-;-;-;-;6;147;20;4;192
URUBICI;-;-;-;-;-;-;-;-;-;3;1;1;5
URUSSANGA;1;7;5;-;2;-;-;-;3;1;12;2;33
VARGEAO;-;-;4;-;-;-;1;-;5;-;2;-;12
VARGEM;-;1;-;-;-;-;-;-;-;-;4;1;6
VARGEM BONITA;-;-;1;-;-;-;-;-;1;-;7;-;9
VIDAL RAMOS;-;-;1;-;-;-;-;1;1;5;13;3;24
VIDEIRA;-;3;5;1;1;3;1;1;10;9;131;375;540
VITOR MEIRELES;-;-;-;-;-;-;-;-;2;-;-;2;4
WITMARSUM;-;-;-;-;-;-;-;-;1;-;-;-;1
XANXERE;-;4;30;9;1;3;8;5;1702;37;1078;62;2939
XAVANTINA;-;-;-;-;-;-;-;-;124;26;7;1;158
XAXIM;3;2;8;1;-;3;14;8;127;11;2335;28;2540
ZORTEA;-;-;-;-;-;-;-;-;-;-;22;1;23
BALNEARIO RINCAO;-;-;1;-;-;-;-;-;-;9;18;5;33
ACEGUA;-;-;-;-;-;-;1;-;-;-;2;-;3
AGUA SANTA;-;-;1;-;-;-;-;2;1;1;6;-;11
AGUDO;-;-;-;1;1;1;-;2;1;35;11;22;74
AJURICABA;2;-;5;2;1;5;7;7;281;17;98;5;430
ALECRIM;-;-;1;-;-;-;4;1;14;25;780;1;826
ALEGRETE;-;4;-;-;-;1;2;2;1;225;49;16;300
ALEGRIA;-;-;-;-;-;1;-;-;4;-;423;18;446
ALMIRANTE TAMANDARE DO SUL;-;-;1;-;-;-;-;-;3;-;2;1;7
ALPESTRE;-;-;120;-;-;-;-;1;1;15;186;83;406
ALTO ALEGRE;-;1;1;1;-;-;-;-;-;4;6;-;13
ALTO FELIZ;-;-;-;-;-;-;-;-;1;1;6;-;8
ALVORADA;1;15;101;10;4;25;6;2;659;285;3579;4588;9275
AMARAL FERRADOR;-;-;-;-;-;-;-;-;-;-;1;-;1
AMETISTA DO SUL;-;-;-;-;-;-;-;6;157;3;222;110;498
ANDRE DA ROCHA;-;-;-;-;-;-;-;-;-;-;4;-;4
ANTA GORDA;-;-;-;-;-;-;-;-;3;110;7;2;122
ANTONIO PRADO;-;3;3;-;-;-;-;1;2;1;12;-;22
ARAMBARE;-;-;-;-;-;-;-;1;-;-;2;-;3
ARARICA;-;-;-;-;-;-;-;-;58;7;154;11;230
ARATIBA;-;-;-;-;-;-;-;810;1;-;10;105;926
ARROIO DO MEIO;-;-;2;-;-;-;-;-;1020;11;34;7;1074
ARROIO DO SAL;-;-;-;1;-;-;-;-;1;1;19;6;28
ARROIO DOS RATOS;-;1;2;-;-;1;-;-;-;2;24;20;50
ARROIO DO TIGRE;-;1;-;-;-;-;-;-;3;-;126;10;140
ARROIO GRANDE;-;-;-;-;-;-;-;-;1;1;2;2;6
ARVOREZINHA;-;-;1;-;-;-;-;1;4;3;22;1;32
AUGUSTO PESTANA;1;-;27;3;3;2;-;-;2;135;44;3;220
AUREA;-;-;-;-;-;-;-;14;-;2;36;19;71
BAGE;1;2;4;-;1;2;-;1;3;4;33;15;66
BALNEARIO PINHAL;-;-;-;-;-;-;-;2;-;2;13;17;34
BARAO;-;-;1;-;-;-;-;-;-;-;4;2;7
BARAO DE COTEGIPE;-;-;-;-;-;-;-;45;31;1;67;4;148
BARAO DO TRIUNFO;-;-;-;-;-;-;-;-;1;-;4;-;5
BARRACAO;1;-;-;-;-;1;-;-;-;-;7;-;9
BARRA DO GUARITA;-;-;-;-;-;3;-;-;62;263;436;1;765
BARRA DO QUARAI;-;-;-;-;-;-;-;-;-;-;4;1;5
BARRA DO RIBEIRO;-;-;1;-;1;-;-;-;2;1;17;33;55
BARRA DO RIO AZUL;-;-;-;-;-;-;-;-;-;2;-;-;2
BARRA FUNDA;-;-;-;-;-;2;-;-;68;28;105;1;204
BARROS CASSAL;-;-;-;-;-;-;-;3;1;1;2;5;12
BENJAMIN CONSTANT DO SUL;-;-;-;-;-;-;-;1;1;1;3;2;8
BENTO GONCALVES;-;5;7;1;4;5;4;2;25;191;303;63;610
BOA VISTA DAS MISSOES;-;-;26;-;-;-;26;1;82;-;26;1;162
